Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D3, D4, D5, D6, D7, D8, D9",ComboDiode,28,,
POINTING1,Pointing-connector,1,,
RP2040ZERO1,RP2040-Zero,1,,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S3, S4, S5, S6, S7, S8, S9",PG1350,28,,
"_1, _10, _11, _2, _3, _4, _5, _6, _7, _8, _9",MountingHole_2.2mm_M2_Pad_Via,11,,
